iter	Passed	Remaining
0	197	39364
1	224	22226
2	242	15955
3	256	12584
4	268	10478
5	280	9061
6	292	8062
7	304	7314
8	316	6717
9	328	6244
10	339	5838
11	351	5502
12	362	5220
13	374	4973
14	386	4764
15	398	4587
16	410	4421
17	422	4273
18	434	4140
19	446	4020
20	458	3912
21	473	3830
22	485	3734
23	497	3645
24	508	3558
25	520	3480
26	531	3405
27	543	3339
28	557	3288
29	571	3235
30	583	3180
31	596	3129
32	607	3072
33	619	3025
34	631	2979
35	643	2933
36	656	2890
37	668	2850
38	687	2836
39	703	2812
40	717	2780
41	728	2741
42	741	2708
43	753	2670
44	764	2634
45	777	2603
46	789	2569
47	800	2534
48	811	2502
49	823	2470
50	833	2436
51	844	2404
52	856	2374
53	867	2345
54	879	2318
55	891	2292
56	902	2263
57	914	2239
58	925	2212
59	937	2187
60	949	2162
61	959	2136
62	970	2110
63	982	2087
64	992	2061
65	1004	2040
66	1016	2018
67	1027	1995
68	1038	1972
69	1050	1950
70	1061	1928
71	1072	1907
72	1084	1886
73	1095	1865
74	1106	1844
75	1118	1824
76	1130	1806
77	1142	1786
78	1154	1767
79	1165	1747
80	1177	1729
81	1188	1710
82	1201	1693
83	1212	1674
84	1223	1655
85	1234	1636
86	1245	1617
87	1256	1598
88	1267	1580
89	1278	1562
90	1289	1544
91	1300	1527
92	1319	1518
93	1336	1506
94	1347	1489
95	1359	1472
96	1370	1454
97	1380	1437
98	1392	1420
99	1402	1402
100	1413	1385
101	1424	1368
102	1435	1352
103	1446	1335
104	1458	1319
105	1470	1304
106	1482	1288
107	1493	1271
108	1504	1255
109	1516	1240
110	1527	1224
111	1538	1209
112	1549	1192
113	1559	1176
114	1570	1160
115	1581	1145
116	1593	1130
117	1605	1115
118	1619	1102
119	1631	1087
120	1642	1072
121	1653	1057
122	1664	1041
123	1675	1026
124	1686	1011
125	1697	996
126	1708	982
127	1720	967
128	1731	953
129	1742	938
130	1753	923
131	1764	908
132	1774	894
133	1786	879
134	1797	865
135	1808	851
136	1819	836
137	1831	822
138	1842	808
139	1853	794
140	1864	779
141	1875	765
142	1885	751
143	1896	737
144	1907	723
145	1918	709
146	1930	695
147	1940	681
148	1952	668
149	1963	654
150	1975	640
151	1985	627
152	1996	613
153	2008	600
154	2019	586
155	2030	572
156	2041	559
157	2052	545
158	2064	532
159	2074	518
160	2085	505
161	2095	491
162	2107	478
163	2117	464
164	2129	451
165	2140	438
166	2150	424
167	2161	411
168	2172	398
169	2183	385
170	2193	372
171	2205	359
172	2216	345
173	2227	332
174	2238	319
175	2249	306
176	2260	293
177	2271	280
178	2284	267
179	2294	254
180	2305	241
181	2316	229
182	2327	216
183	2337	203
184	2347	190
185	2359	177
186	2371	164
187	2382	152
188	2393	139
189	2404	126
190	2415	113
191	2425	101
192	2436	88
193	2448	75
194	2459	63
195	2470	50
196	2481	37
197	2492	25
198	2503	12
199	2514	0
